LawsId	LawsTarget type	LawsDescription	LawsGhg target	LawsYear	LawsBase year period	LawsSingle year	LawsSource	LawsGeography	LawsGeography iso	LawsSector	LawsConnected law ids	LawsScopes	LawsVisibility status	LegislationsId	LegislationsLaw Id	LegislationsTitle	LegislationsLegislation type	LegislationsDescription	LegislationsParent	LegislationsGeography	LegislationsGeography iso	LegislationsSector	LegislationsFrameworks	LegislationsResponses	LegislationsDocument types	LegislationsKeywords	LegislationsNatural hazards	LegislationsVisibility status
8977.0	not_applicable	Seaports and airports functioning within one week of an extreme weather event	False	2030.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8976.0	not_applicable	90% of the population able to identify the pillars of resilience and at least one measure undertaken by the Government, with specific focus on respect for people, planet and property	False	2030.0		False	plan	Dominica	DMA	Other	9751		published															
8975.0	not_applicable	100% of national budgeting, policies in place and enforced, and Government performance measurement framework informed by resilience targets	False	2030.0		False	plan	Dominica	DMA	Public Sector	9751		published															
8974.0	not_applicable	50% increase healthy coral reef coverage to support increased fish stocks, and protect coastlines and the eco-tourism industry	False	2030.0		False	plan	Dominica	DMA	Adaptation	9751		published															
8973.0	not_applicable	100% of telecommunications restored within three (3) months of an extreme weather event	False			False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8972.0	not_applicable	No more than 5% of schools and healthcare facilities severely damaged or destroyed by an extreme weather event	False	2020.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8971.0	not_applicable	90% of the population with access to power within 3 days of a climatic event	False	2030.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8970.0	not_applicable	60% of the population with access to water and sanitation within 7 days of an extreme weather event	False	2032.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8969.0	not_applicable	100% primary roads and bridges open within 3 days of an extreme weather event	False	2030.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8968.0	not_applicable	100% functioning of critical Government and emergency services during and after an extreme climatic event	False	2030.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8966.0	not_applicable	100% resettlement of individuals living in physically vulnerable locations	False	2030.0		False	plan	Dominica	DMA	Adaptation	9751		published															
8965.0	not_applicable	90% of housing stock built or retrofitted to resilient building codes	False	2030.0		False	policy	Dominica	DMA	Buildings	9751		published															
8964.0	fixed_level_target	Become carbon neutral through 100% domestic renewable energy production and an increase of protected forest areas to 67% of Dominica's land mass	True	2030.0		False	policy	Dominica	DMA	Economy-wide	9751		published															
8963.0	not_applicable	0 fatalities from extreme weather events	False	2030.0		False	plan	Dominica	DMA	Disaster Risk Management (Drm)	9751		published															
8962.0	fixed_level_target	20GW of installed capacity by 2030 and 40 GW by 2040.	False		2020	False	law	Germany	DEU	Energy	8934	Renewable Energy	published															
8961.0	fixed_level_target	A carbon pollution-free electricity sector no later than 2035	True	2035.0	2021	True	policy	United States of America	USA	Energy	9747	Renewable Energy	published															
8960.0	fixed_level_target	25-50% of public fleet of cars to be electric	False	2030.0	2019	True	strategy	Panama	PAN	Transportation	9719	E Vs And Electric Trains, Electrification, car	published															
8959.0	fixed_level_target	15-35% of buses to be electric by 2030	False	2030.0	2019	True	strategy	Panama	PAN	Transportation	9719	Public Transport, Electrification	published															
8958.0	fixed_level_target	25-40% of private vehicle sales to be electric by 2030	False	2030.0	2019	True	strategy	Panama	PAN	Transportation	9719	E Vs And Electric Trains, Electrification	published															
8957.0	fixed_level_target	10-20% of private vehicles to be electric by 2030	False	2030.0	2019	True	strategy	Panama	PAN	Transportation	9719	E Vs And Electric Trains	published															
8956.0	fixed_level_target	To reduce by 63% the emissions from sectors outside the EU ETS compared to 1990.	True	2030.0	1990	False	plan	Sweden	SWE	Economy-wide	9518	GHG, non-ETS	published															
8955.0	fixed_level_target	To reduce by 70% the emissions in the transport sector.	True	2030.0	2010	True	plan	Sweden	SWE	Transportation	9518	Transport: General, GHG	published															
8954.0	fixed_level_target	To increase by 50% the energy efficiency.	False	2030.0	2020	True	plan	Sweden	SWE	Energy	9518	Energy Efficiency	published															
8953.0	fixed_level_target	To reduce its GHG emissions to 20% of their 2005 levels by 2030.	True	2030.0	2005	True	plan	Sweden	SWE	Economy-wide	9518	GHG	published															
8952.0	fixed_level_target	To increase by 39.5% the energy efficiency.	False	2030.0	2020	True	plan	Spain	ESP	Energy	9517	Energy Efficiency	published															
8951.0	fixed_level_target	To increase by 74% the share of renewable energy in electricity generation.	False	2030.0	2020	True	plan	Spain	ESP	Energy	9517	Renewable Energy	published															
8950.0	fixed_level_target	To increase by 42% the share of renewables in energy end-use.	False	2030.0	2020	True	plan	Spain	ESP	Energy	9517	Renewable Energy	published															
8949.0	fixed_level_target	To reduce by 23% the greenhouse gas (GHG) emissions compared to 1990.	True	2030.0	1990	True	plan	Spain	ESP	Economy-wide	9517	GHG	published															
8948.0	trajectory_target	To reach at least a 27% share of renewables in energy end-use by 2030.	True	2030.0	2020	True	plan	Slovakia	SVK	Energy	9515	Renewable Energy	published															
8947.0	trajectory_target	To reduce GHG emissions by at least 20% compared to 2005.	True	2030.0	2005	False	plan	Slovakia	SVK	Economy-wide	9515	GHG	published															
8946.0	fixed_level_target	To increase the overall share of renewable energy in gross final energy consumption by 30.7%.	False	2030.0	2020	True	plan	Romania	ROU	Energy	9513	Renewable Energy	published															
8945.0	fixed_level_target	To reduce by 2% the non-ETS emissions compared to 2005.	True	2030.0	2005	True	plan	Romania	ROU	Economy-wide	9513	GHG	published															
8944.0	fixed_level_target	To reduce by 43.9% the ETS-GHG emissions compared to 2005.	True	2030.0	2005	True	plan	Romania	ROU	Economy-wide	9513	GHG	published															
8943.0	fixed_level_target	To increase electricity interconnections by 15 per cent.	False	2030.0	2020	True	plan	Portugal	PRT	Energy	9513	Energy: General	published															
8942.0	fixed_level_target	To increase the share of renewables in transport by 20 per cent.	False	2030.0	2020	True	plan	Portugal	PRT	Transportation	9513	Transport: General, Renewable Energy	published															
8941.0	trajectory_target	Reinforce the weighting of renewable energies by 47 per cent.	False	2030.0	2020	True	plan	Portugal	PRT	Energy	9513	Renewable Energy	published															
8940.0	trajectory_target	Reduction of CO2e emissions (without LULUCF) (Mt CO2e) with respect to 2005.	True	2030.0	2005	True	plan	Portugal	PRT	Economy-wide	9513	GHG	published															
8939.0	fixed_level_target	To increase by 23 per cent in energy efficiency by 2030.	False	2030.0	2020	True	plan	Poland	POL	Energy	9512	Energy Efficiency	published															
8938.0	trajectory_target	To increase by 21-33 per cent the share of RES in gross final energy consumption in 2030.	False	2030.0	2020	True	plan	Poland	POL	Energy	9511	Renewable Energy	published															
8937.0	fixed_level_target	To increase by14 per cent the share of renewable energy in transport in 2030.	False	2030.0	2020	True	plan	Poland	POL	Transportation	9511	Transport: General, Renewable Energy	published															
8936.0	fixed_level_target	A reduction of 7 per cent of CO2 emissions in non-ETS compared to 2005.	True	2030.0	2005	False	plan	Poland	POL	Economy-wide	9511	GHG	published															
8935.0	trajectory_target	To achieve a 27% share of renewable energy by 2030.	False	2030.0	2020	True	plan	Netherlands	NLD	Energy	9511	Renewable Energy	published															
8934.0	fixed_level_target	To reduce by 49% the greenhouse gases compared with 1990.	True	2030.0	1990	True	plan	Netherlands	NLD	Economy-wide	9511	GHG	published															
8933.0	fixed_level_target	To ensure an energy intensity of 0.07toe/¬2005 in 2030.	False	2030.0	2020	True	plan	Malta	MLT	Energy	9510	Energy Intensity	published															
8932.0	fixed_level_target	To reduce GHG emissions by 19% compared to 2005.	True	2030.0	2005	True	plan	Malta	MLT	Economy-wide	9510	GHG	published															
8931.0	fixed_level_target	To increase by 14% the share of RES in the transport sector.	False	2030.0	2020	True	plan	Malta	MLT	Transportation	9510	Transport: General, Renewable Energy	published															
8930.0	fixed_level_target	To increase by 11.5% the share of renewable energy in gross final energy consumption in 2030.	False	2030.0	2020	True	plan	Malta	MLT	Energy	9510	Renewable Energy	published															
8929.0	trajectory_target	To increase the energy efficiency by 40-44% compared to the EU PRIMES model (2007).	False	2030.0	2007	True	plan	Luxembourg	LUX	Energy	9509	Energy Efficiency	published															
8928.0	fixed_level_target	To increase by25% the share of renewable energy in the gross final energy consumption.	False	2030.0	2020	True	plan	Luxembourg	LUX	Energy	9509	Renewable Energy	published															
8927.0	fixed_level_target	To reduce GHG emissions by 55% compared to 2005.	True	2030.0	2005	False	plan	Luxembourg	LUX	Economy-wide	9509	GHG	published															
8926.0	fixed_level_target	In non-ETS sectors, GHG emissions must be reduced at least by 9 per cent compared to 2005.	True	2030.0	2005	True	plan	Lithuania	LTU	Economy-wide	9508	GHG	published															
8925.0	fixed_level_target	In sectors covered by the EU Emissions Trading System (EU ETS), GHG emissions must be reduced by 43% compared to the 2005 levels.	True	2030.0	2005	True	plan	Lithuania	LTU	Economy-wide	9508	GHG	published															
8924.0	fixed_level_target	To reduce GHG emissions from all sectors of economy by at least 40% compared to 1990.	True	2030.0	1990	True	plan	Lithuania	LTU	Economy-wide	9508	GHG	published															
8923.0		Reducing GHG emission by 65 per cent compared to 1990.	True	2030.0	1990	True	plan	Latvia	LVA	Economy-wide	9507	GHG	published															
8922.0	fixed_level_target	Reduction of GHG in non-ETS activities by 6 per cent compared to 2005.	True	2030.0	2005	True	plan	Latvia	LVA	Economy-wide	9507	GHG	published															
8921.0	fixed_level_target	Reduction in GHG for all non-ETS sectors by 33%.	True	2030.0	2005	True	plan	Italy	ITA	Economy-wide	9506	GHG	published															
8920.0	trajectory_target	To increase the share of energy from RES in the gross final consumption of energy for heating and cooling by +1.3% per year (indicative).	False	2030.0	2020	False	plan	Italy	ITA	Buildings	9506	Renewable Energy, Buildings	published															
8919.0	fixed_level_target	To increase the share of energy from RES in the gross final consumption of energy in the transport sector by 22%.	False	2030.0	2020	True	plan	Italy	ITA	Transportation	9506	Transport: General, Renewable Energy	published															
8918.0	fixed_level_target	To increase the share of energy from RES in the gross final consumption of energy by 30 per cent.	False	2030.0	2020	True	plan	Italy	ITA	Energy	9506	Renewable Energy	published															
