"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"8804","Legislation","1571","Amended","Amended","","20/01/2021",""
"8803","Legislation","1571","Passed/Approved","Approved","","25/10/2010",""
"8802","Legislation","9769","Implementation Details","Guidance on implementation published","","01/07/2020",""
"8801","Legislation","9769","Entered Into Force","Law passed","","28/08/2019",""
"8797","Legislation","9768","Amended","Amended","","12/05/2019",""
"8795","Legislation","1208","Amended","Amended","","17/04/2019",""
"8794","Legislation","9768","Passed/Approved","Released","","26/12/2017",""
"8793","Legislation","9767","Passed/Approved","Released","","25/12/2020",""
"8792","Legislation","9766","Entered Into Force","Entry into force","","04/02/2021",""
"8791","Legislation","9766","Passed/Approved","Approved","","04/02/2020",""
"8790","Legislation","9765","Passed/Approved","Released","","01/01/2019",""
"8789","Legislation","9764","Passed/Approved","Approved","","01/11/2019",""
"8788","Legislation","9640","Passed/Approved","Approved","","26/12/2008",""
"8787","Legislation","9730","Passed/Approved","Approved","","01/02/2011",""
"8786","Legislation","8802","Passed/Approved","Approved","","18/08/2020",""
"8785","Legislation","1041","Passed/Approved","Released","","01/10/2017",""
"8784","Legislation","8621","Passed/Approved","Published","","01/12/2014",""
"8783","Legislation","9763","Passed/Approved","Approved","","31/07/2020",""
"8782","Legislation","9096","Passed/Approved","Published","","23/12/2013",""
"8781","Legislation","8763","Passed/Approved","Bill adopted","","08/03/2018",""
"8777","Legislation","9762","Passed/Approved","Approved","","23/07/2014",""
"8775","Legislation","9761","Passed/Approved","Approved","","17/02/2021",""
"8774","Legislation","9760","Passed/Approved","Approved","","12/02/2021",""
"8773","Legislation","9759","Passed/Approved","Signed by president","","05/02/20218",""
"8772","Legislation","9758","Passed/Approved","Approved","","12/09/2020",""
"8771","Legislation","9757","Passed/Approved","Released","","01/07/2020",""
"8770","Legislation","9756","Passed/Approved","Released","","02/06/2020",""
"8769","Legislation","9755","Passed/Approved","Released","","27/10/2020",""
"8767","Legislation","9753","Passed/Approved","Released","","01/07/2018",""
"8766","Legislation","9749","Passed/Approved","Release","","08/01/2021",""
"8759","Legislation","8934","Amended","Amended","","03/06/2020",""
"8758","Legislation","8713","Amended","Regulation adopted","","09/12/2020",""
"8757","Legislation","1564","Amended","PEP 2040 validated by government resolution","","02/02/2021",""
"8754","Legislation","9751","Passed/Approved","Plan published","","01/04/2020",""
"8753","Legislation","9750","Passed/Approved","Law passed","","19/12/2018",""
"8752","Legislation","9748","Passed/Approved","Released","","20/01/2021",""
"8750","Legislation","9747","Passed/Approved","Order released","","27/01/2021",""
"8749","Legislation","9746","Passed/Approved","Approved","","28/12/2020",""
"8748","Legislation","9745","Passed/Approved","Approved","","31/12/2020",""
"8747","Legislation","9744","Passed/Approved","Approved","","02/07/2019",""
"8746","Legislation","8475","Passed/Approved","Approved","","12/10/2017",""
"8745","Legislation","9743","Passed/Approved","Approved","","12/02/2015",""
"8727","Legislation","9742","Passed/Approved","Published","","07/03/2019",""
"8724","Legislation","9741","Passed/Approved","Published","","27/11/2020",""
"8723","Legislation","9740","Passed/Approved","Approved","","16/10/2020",""
"8722","Legislation","9739","Passed/Approved","Approved","","19/11/2020",""
"8721","Legislation","1687","Amended","Ordinance passed","","25/11/2020",""
"8720","Legislation","9738","Passed/Approved","Law passed","","28/12/2016",""
"8719","Legislation","9738","Amended","Law amended","Law was passed in 1985, but the climate-related clauses were added in 2020","02/11/2020",""
"8713","Legislation","9737","Amended","Amended","","25/10/2020",""
"8712","Legislation","9737","Amended","Amended","","25/12/2016",""
"8711","Legislation","9737","Amended","Amended","","25/12/2012",""
"8710","Legislation","9737","Amended","Amended","","25/12/2009",""
"8709","Legislation","9737","Passed/Approved","Approved","","25/12/2004",""
"8707","Legislation","9736","Passed/Approved","Approved","","19/02/2020",""
"8706","Legislation","9735","Passed/Approved","Published","","01/06/2020",""
"8705","Legislation","9734","Passed/Approved","Published","","03/11/2020",""
"8696","Legislation","1804","Passed/Approved","Approved","","25/12/2012",""
"8695","Legislation","9733","Passed/Approved","Passed","","15/06/2007",""
"8694","Legislation","9732","Passed/Approved","Adopted","","29/09/2020",""
"8693","Legislation","9724","Passed/Approved","Plan adopted","","01/09/2020",""
"8692","Legislation","9725","Passed/Approved","Law passed","","22/06/2017",""
"8691","Legislation","9731","Amended","Last amended","","04/04/2019",""
"8690","Legislation","9731","Passed/Approved","Passed","","25/12/2010",""
"8689","Legislation","9727","Amended","Entry into force of amending law","","14/08/2020",""
"8688","Legislation","9727","Passed/Approved","Passed","","29/12/2015",""
"8687","Legislation","9728","Passed/Approved","Law passed","","25/09/2020",""
"8686","Legislation","9729","Passed/Approved","Law passed","","24/09/2020",""
"8682","Legislation","9721","Passed/Approved","Approved","","09/02/2018",""
"8681","Legislation","9720","Passed/Approved","Approved","","25/12/2019",""
"8667","Legislation","9719","Passed/Approved","Approved","","28/10/2019",""
"8666","Legislation","9718","Passed/Approved","Approved","","11/09/2020",""
"8665","Legislation","9517","Amended","Amended","","23/09/2020",""
"8664","Legislation","9717","Amended","Last amended","","15/09/2017",""
"8663","Legislation","9717","Passed/Approved","Plan approved","","15/08/2012",""
"8662","Legislation","9716","Passed/Approved","Approved","","17/10/2019",""
"8661","Legislation","1723","Passed/Approved","Approved","","18/09/2020",""
"8659","Legislation","9714","Passed/Approved","Approved","","09/06/2020",""
"8658","Legislation","9713","Passed/Approved","Approved","","13/03/2020",""
"8657","Legislation","9656","Amended","last amended","","25/12/2009",""
"8656","Legislation","1766","Amended","Amended","","01/09/2020",""
"8655","Legislation","9712","Passed/Approved","Document released","","31/08/2020",""
"8649","Legislation","9711","Passed/Approved","Approved","","01/05/2013",""
"8648","Legislation","9710","Passed/Approved","Approved","","01/07/2017",""
